Word,Meaning
woods,숲
trees,나무들
stories,이야기들
friends,친구들
deeper,더 깊은
whispering,속삭이는
nature,자연
leading,이끄는
known,알려진
could,~할 수 있었다
locals,지역 주민들
talk,말하다
saying,말하는 것
was,이었다
bewitched,마법에 걸린
avoided,피했다
adventurous,모험심 강한
teens,10대들
resist,저항하다
couldn’t,~할 수 없었다
exploring,탐험하는
walked,걸었다
discovered,발견했다
path,길
started,시작했다
into,~안으로
tree,나무
each,각각의
ancient,고대의
times,시대들
battles,전투들
told,말해졌다
lovers,연인들
separated,떨어진
also,또한
warned,경고했다
about,~에 대해
dangers,위험들
forgetting,잊는 것
fought,싸웠다
past,과거
importance,중요성
moved,감동받았다
by,~에 의해
these,이런
promised,약속했다
protect,보호하다
share,공유하다
knowledge,지식
left,떠났다
wiser,더 현명한
respect,존중
untold,말로 다 할 수 없는
ready,준비된
advocate,옹호자
preservation,보존
culture,문화
unity,통일/일치
experience,경험
population,인구
education,교육
direction,방향
symbol,상징
dialogue,대화
effect,효과
liberty,자유
republic,공화국
affair,사건
method,방법
comfort,위안
increase,증가(하다)
tradition,전통
decrease,감소(하다)
subject,주제
amount,액수
object,사물
ancestor,조상
source,출처
voyage,항해
revolution,혁명
sculpture,조각(품)
pollution,오염
instrument,기계
system,체계
figure,숫자
triumph,승리
activity,활동
cause,원인, 이유
communication,전달
worth,가치
